roc_auc,pr_auc,train_date
0.7269,0.9938,2023-06-01
0.586,0.9085,2023-06-02
0.5413,0.711,2023-06-03
0.5037,0.5216,2023-06-04
0.9867,0.6715,2023-06-05
0.6236,0.9228,2023-06-06
0.7907,0.6401,2023-06-07
0.9765,0.6256,2023-06-08
0.9104,0.6941,2023-06-09
0.8371,0.8236,2023-06-10
0.8178,0.9075,2023-06-11
0.9134,0.6316,2023-06-12
0.818,0.8023,2023-06-13
0.7327,0.833,2023-06-14
0.534,0.8132,2023-06-15
0.6935,0.5926,2023-06-16
0.8799,0.7255,2023-06-17
0.7883,0.8388,2023-06-18
0.8165,0.6703,2023-06-19
0.7826,0.6018,2023-06-20
0.9453,0.511,2023-06-21
0.5168,0.9066,2023-06-22
0.9164,0.7548,2023-06-23
0.6698,0.5307,2023-06-24
0.6772,0.8329,2023-06-25
0.7244,0.6933,2023-06-26
0.8458,0.6194,2023-06-27
0.7954,0.94,2023-06-28
0.8209,0.692,2023-06-29
0.7041,0.6262,2023-06-30
0.8733,0.9515,2023-07-01
0.6426,0.7617,2023-07-02
0.6329,0.788,2023-07-03
0.6938,0.8898,2023-07-04
0.8129,0.7149,2023-07-05
0.9916,0.6843,2023-07-06
0.991,0.6019,2023-07-07
0.554,0.8661,2023-07-08
0.8077,0.5848,2023-07-09
0.5407,0.5098,2023-07-10
0.6322,0.7059,2023-07-11
0.6578,0.5329,2023-07-12
0.89,0.5996,2023-07-13
0.96,0.7165,2023-07-14
0.5248,0.6972,2023-07-15
0.5769,0.6312,2023-07-16
0.7436,0.7233,2023-07-17
0.7124,0.9815,2023-07-18
0.8948,0.9961,2023-07-19
0.8092,0.5275,2023-07-20
0.9992,0.9428,2023-07-21
0.8267,0.9029,2023-07-22
0.9935,0.8687,2023-07-23
0.7276,0.6024,2023-07-24
0.7044,0.8635,2023-07-25
0.5788,0.9303,2023-07-26
0.586,0.7215,2023-07-27
0.9896,0.5191,2023-07-28
0.5453,0.9057,2023-07-29
0.793,0.9975,2023-07-30
0.7539,0.8696,2023-07-31
0.7675,0.7112,2023-08-01
0.7525,0.8763,2023-08-02
0.5897,0.8285,2023-08-03
0.5781,0.9814,2023-08-04
0.9333,0.5037,2023-08-05
0.9333,0.991,2023-08-06
0.9997,0.991,2023-08-07
0.6891,0.7867,2023-08-08
0.6494,0.6798,2023-08-09
0.6484,0.8194,2023-08-10
0.6058,0.6754,2023-08-11
0.5037,0.655,2023-08-12
0.8206,0.5518,2023-08-13
0.5785,0.6139,2023-08-14
0.6567,0.6057,2023-08-15
0.5354,0.8837,2023-08-16
0.5768,0.741,2023-08-17
0.9692,0.632,2023-08-18
0.6297,0.6401,2023-08-19
0.8817,0.8133,2023-08-20
0.5281,0.7556,2023-08-21
0.5579,0.8889,2023-08-22
0.7751,0.5139,2023-08-23
0.6987,0.8318,2023-08-24
0.6355,0.7915,2023-08-25
0.8917,0.903,2023-08-26
0.8662,0.8323,2023-08-27
0.7561,0.805,2023-08-28
0.9199,0.7564,2023-08-29
0.9481,0.6707,2023-08-30
0.9463,0.8501,2023-08-31
