roc_auc,pr_auc,train_date
0.8898,0.8284,2023-06-01
0.9901,0.8396,2023-06-02
0.8711,0.6487,2023-06-03
0.6033,0.6348,2023-06-04
0.603,0.6877,2023-06-05
0.5375,0.9809,2023-06-06
0.8542,0.6018,2023-06-07
0.5265,0.9844,2023-06-08
0.7342,0.5245,2023-06-09
0.7751,0.8647,2023-06-10
0.7939,0.9503,2023-06-11
0.7052,0.6943,2023-06-12
0.9552,0.7307,2023-06-13
0.9805,0.7006,2023-06-14
0.5037,0.5032,2023-06-15
0.7781,0.997,2023-06-16
0.5856,0.5272,2023-06-17
0.7343,0.6266,2023-06-18
0.8509,0.6226,2023-06-19
0.6681,0.946,2023-06-20
0.8422,0.6007,2023-06-21
0.7989,0.7423,2023-06-22
0.5387,0.875,2023-06-23
0.9343,0.615,2023-06-24
0.849,0.5767,2023-06-25
0.6266,0.6295,2023-06-26
0.5161,0.5555,2023-06-27
0.5926,0.7373,2023-06-28
0.521,0.515,2023-06-29
0.7749,0.7201,2023-06-30
0.5687,0.5398,2023-07-01
0.8123,0.9089,2023-07-02
0.7687,0.8469,2023-07-03
0.9281,0.9677,2023-07-04
0.8612,0.9029,2023-07-05
0.509,0.7284,2023-07-06
0.989,0.502,2023-07-07
0.7908,0.5986,2023-07-08
0.5875,0.802,2023-07-09
0.9276,0.7897,2023-07-10
0.6769,0.9679,2023-07-11
0.6409,0.7236,2023-07-12
0.9253,0.6917,2023-07-13
0.7122,0.6962,2023-07-14
0.5945,0.8314,2023-07-15
0.875,0.7158,2023-07-16
0.7673,0.735,2023-07-17
0.5329,0.8193,2023-07-18
0.9141,0.5111,2023-07-19
0.5953,0.8575,2023-07-20
0.8866,0.5702,2023-07-21
0.6404,0.6774,2023-07-22
0.5553,0.8577,2023-07-23
0.9874,0.5417,2023-07-24
0.5518,0.8067,2023-07-25
0.9544,0.5804,2023-07-26
0.877,0.9903,2023-07-27
0.5522,0.8617,2023-07-28
0.9039,0.8157,2023-07-29
0.8661,0.5441,2023-07-30
0.6313,0.6118,2023-07-31
0.5035,0.6511,2023-08-01
0.8823,0.5575,2023-08-02
0.9327,0.8285,2023-08-03
0.9784,0.8286,2023-08-04
0.5594,0.5607,2023-08-05
0.5972,0.6387,2023-08-06
0.6701,0.5912,2023-08-07
0.5041,0.9486,2023-08-08
0.953,0.7197,2023-08-09
0.5406,0.9797,2023-08-10
0.5735,0.5795,2023-08-11
0.8958,0.874,2023-08-12
0.7661,0.9862,2023-08-13
0.6176,0.9175,2023-08-14
0.5513,0.6472,2023-08-15
0.8484,0.6645,2023-08-16
0.6831,0.7932,2023-08-17
0.9123,0.8818,2023-08-18
0.7269,0.7262,2023-08-19
0.5367,0.9038,2023-08-20
0.833,0.737,2023-08-21
0.5117,0.7149,2023-08-22
0.6857,0.9175,2023-08-23
0.583,0.6616,2023-08-24
0.7451,0.5482,2023-08-25
0.9285,0.952,2023-08-26
0.7691,0.6967,2023-08-27
0.6418,0.6156,2023-08-28
0.6171,0.7914,2023-08-29
0.7758,0.6791,2023-08-30
0.9243,0.9421,2023-08-31
