roc_auc,pr_auc,train_date
0.682,0.5948,2023-06-01
0.9133,0.606,2023-06-02
0.9515,0.8922,2023-06-03
0.9858,0.809,2023-06-04
0.9938,0.7625,2023-06-05
0.7339,0.7542,2023-06-06
0.5196,0.5632,2023-06-07
0.6203,0.6992,2023-06-08
0.5737,0.9829,2023-06-09
0.5018,0.5276,2023-06-10
0.6642,0.9338,2023-06-11
0.8801,0.9337,2023-06-12
0.5755,0.8425,2023-06-13
0.6417,0.8472,2023-06-14
0.8891,0.6136,2023-06-15
0.7991,0.9446,2023-06-16
0.9646,0.6475,2023-06-17
0.5701,0.5406,2023-06-18
0.708,0.6024,2023-06-19
0.5984,0.6091,2023-06-20
0.8118,0.7981,2023-06-21
0.7065,0.8552,2023-06-22
0.5682,0.6947,2023-06-23
0.7997,0.8902,2023-06-24
0.8873,0.565,2023-06-25
0.7409,0.6782,2023-06-26
0.7917,0.5852,2023-06-27
0.8923,0.6566,2023-06-28
0.5604,0.6449,2023-06-29
0.8955,0.818,2023-06-30
0.7047,0.876,2023-07-01
0.9462,0.8244,2023-07-02
0.6795,0.7309,2023-07-03
0.951,0.779,2023-07-04
0.8602,0.838,2023-07-05
0.6085,0.6307,2023-07-06
0.676,0.6621,2023-07-07
0.8858,0.6229,2023-07-08
0.5673,0.8167,2023-07-09
0.8429,0.7509,2023-07-10
0.8098,0.9683,2023-07-11
0.5975,0.6282,2023-07-12
0.5847,0.7777,2023-07-13
0.5557,0.9357,2023-07-14
0.7588,0.6681,2023-07-15
0.5779,0.5067,2023-07-16
0.8696,0.7931,2023-07-17
0.7676,0.5998,2023-07-18
0.7459,0.768,2023-07-19
0.8756,0.7968,2023-07-20
0.9269,0.5617,2023-07-21
0.7866,0.9292,2023-07-22
0.8492,0.5687,2023-07-23
0.9181,0.7606,2023-07-24
0.512,0.8874,2023-07-25
0.5064,0.7853,2023-07-26
0.9675,0.5281,2023-07-27
0.8349,0.8916,2023-07-28
0.9823,0.7325,2023-07-29
0.8035,0.6887,2023-07-30
0.7715,0.525,2023-07-31
0.8376,0.7793,2023-08-01
0.6118,0.5793,2023-08-02
0.5711,0.6641,2023-08-03
0.7786,0.72,2023-08-04
0.6267,0.6628,2023-08-05
0.9937,0.5948,2023-08-06
0.6044,0.5795,2023-08-07
0.5029,0.8428,2023-08-08
0.6083,0.6893,2023-08-09
0.5921,0.9103,2023-08-10
0.6185,0.7205,2023-08-11
0.7872,0.5773,2023-08-12
0.6047,0.6845,2023-08-13
0.8602,0.8452,2023-08-14
0.8431,0.5521,2023-08-15
0.5929,0.628,2023-08-16
0.9114,0.8686,2023-08-17
0.6121,0.5889,2023-08-18
0.7017,0.8778,2023-08-19
0.9902,0.5821,2023-08-20
0.5314,0.6889,2023-08-21
0.6133,0.8618,2023-08-22
0.9508,0.9861,2023-08-23
0.8504,0.677,2023-08-24
0.6671,0.6154,2023-08-25
0.8502,0.7121,2023-08-26
0.8936,0.9971,2023-08-27
0.7257,0.7972,2023-08-28
0.5165,0.7055,2023-08-29
0.5561,0.5914,2023-08-30
0.5774,0.767,2023-08-31
